epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5283,1.11828,0.73694,1.25632,0.92145,0.85416,0.93344,0.62313,1.1903,0.72745,1.38056,0.00066335,0.00066335,0.00066335
2,97.6206,1.1907,0.83379,1.25329,0.87663,0.83495,0.90203,0.60653,1.24522,0.79754,1.37692,0.00130368,0.00130368,0.00130368
3,137.879,1.184,0.88519,1.23189,0.90875,0.82524,0.91305,0.61433,1.21023,0.79449,1.39276,0.00191761,0.00191761,0.00191761
4,178.868,1.20168,0.88319,1.25906,0.84804,0.83981,0.9068,0.60322,1.24017,0.87211,1.37187,0.0018812,0.0018812,0.0018812
5,218.927,1.23067,0.91574,1.25359,0.86856,0.80198,0.86894,0.55063,1.30943,0.98057,1.43586,0.0018416,0.0018416,0.0018416
6,259.461,1.25399,0.92013,1.27541,0.91662,0.8301,0.92569,0.59701,1.20553,0.87025,1.38358,0.001802,0.001802,0.001802
7,298.968,1.20075,0.88318,1.26021,0.82034,0.72816,0.83199,0.54311,1.3099,1.0636,1.48317,0.0017624,0.0017624,0.0017624
8,338.909,1.19458,0.87877,1.22883,0.92537,0.86408,0.94504,0.6449,1.16032,0.71976,1.36269,0.0017228,0.0017228,0.0017228
9,379.403,1.19939,0.87992,1.21424,0.91713,0.8059,0.91187,0.61105,1.25443,0.80257,1.38254,0.0016832,0.0016832,0.0016832
10,419.635,1.17188,0.8595,1.19426,0.86737,0.88893,0.92867,0.62287,1.19056,0.76866,1.35985,0.0016436,0.0016436,0.0016436
11,459.516,1.19606,0.84414,1.2274,0.91063,0.84083,0.91746,0.61392,1.23044,0.83828,1.34902,0.001604,0.001604,0.001604
12,500.158,1.18233,0.84628,1.20294,0.89597,0.83615,0.9126,0.62043,1.20105,0.77831,1.40924,0.0015644,0.0015644,0.0015644
13,540.725,1.15638,0.83702,1.21875,0.85519,0.8887,0.93155,0.6465,1.18158,0.70734,1.3579,0.0015248,0.0015248,0.0015248
14,581.004,1.1711,0.84977,1.22617,0.9169,0.83495,0.92793,0.63211,1.12814,0.7394,1.31859,0.0014852,0.0014852,0.0014852
15,621.029,1.17014,0.82153,1.24006,0.91387,0.8835,0.9316,0.64651,1.16494,0.71618,1.34807,0.0014456,0.0014456,0.0014456
16,661.173,1.14289,0.84519,1.1965,0.91219,0.88835,0.94609,0.65711,1.14304,0.74124,1.32973,0.001406,0.001406,0.001406
